2021-10-10,WESTON,947,8
2021-10-10,WASHAKIE,1485,29
2021-10-10,UINTA,3660,26
2021-10-10,TETON,4984,13
2021-10-10,SWEETWATER,7146,70
2021-10-10,SUBLETTE,1266,13
2021-10-10,SHERIDAN,4843,43
2021-10-10,PLATTE,1231,23
2021-10-10,PARK,4618,54
2021-10-10,NIOBRARA,328,5
2021-10-10,NATRONA,13268,162
2021-10-10,LINCOLN,2515,15
2021-10-10,LARAMIE,14850,175
2021-10-10,JOHNSON,1119,15
2021-10-10,HOT-SPRINGS,837,8
2021-10-10,GOSHEN,1946,33
2021-10-10,FREMONT,7978,112
2021-10-10,CROOK,816,17
2021-10-10,CONVERSE,2011,30
2021-10-10,CARBON,2511,36
2021-10-10,CAMPBELL,8105,85
2021-10-10,BIG-HORN,1892,40
2021-10-10,ALBANY,5947,29
2021-10-09,WESTON,947,8
2021-10-09,WASHAKIE,1485,29
2021-10-09,UINTA,3660,26
2021-10-09,TETON,4984,13
2021-10-09,SWEETWATER,7146,70
2021-10-09,SUBLETTE,1266,13
2021-10-09,SHERIDAN,4843,43
2021-10-09,PLATTE,1231,23
2021-10-09,PARK,4618,54
2021-10-09,NIOBRARA,328,5
2021-10-09,NATRONA,13268,162
2021-10-09,LINCOLN,2515,15
2021-10-09,LARAMIE,14850,175
2021-10-09,JOHNSON,1119,15
2021-10-09,HOT-SPRINGS,837,8
2021-10-09,GOSHEN,1946,33
2021-10-09,FREMONT,7978,112
2021-10-09,CROOK,816,17
2021-10-09,CONVERSE,2011,30
2021-10-09,CARBON,2511,36
2021-10-09,CAMPBELL,8105,85
2021-10-09,BIG-HORN,1892,40
2021-10-09,ALBANY,5947,29
2021-10-08,WESTON,947,8
2021-10-08,WASHAKIE,1485,29
2021-10-08,UINTA,3660,26
2021-10-08,TETON,4984,13
2021-10-08,SWEETWATER,7146,70
2021-10-08,SUBLETTE,1266,13
2021-10-08,SHERIDAN,4843,43
2021-10-08,PLATTE,1231,23
2021-10-08,PARK,4618,54
2021-10-08,NIOBRARA,328,5
2021-10-08,NATRONA,13268,162
2021-10-08,LINCOLN,2515,15
2021-10-08,LARAMIE,14850,175
2021-10-08,JOHNSON,1119,15
2021-10-08,HOT-SPRINGS,837,8
2021-10-08,GOSHEN,1946,33
2021-10-08,FREMONT,7978,112
