Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,17060: Δ=0,509: Δ=0
2021-10-09,17060: Δ=0,509: Δ=0
2021-10-08,17060: Δ=59,509: Δ=0
2021-10-07,17001: Δ=41,509: Δ=0
2021-10-06,16960: Δ=27,509: Δ=2
2021-10-05,16933: Δ=34,507: Δ=0
2021-10-04,16899: Δ=68,507: Δ=0
2021-10-03,16831: Δ=0,507: Δ=0
2021-10-02,16831: Δ=0,507: Δ=0
2021-10-01,16831: Δ=35,507: Δ=1
2021-09-30,16796: Δ=38,506: Δ=1
2021-09-29,16758: Δ=35,505: Δ=2
2021-09-28,16723: Δ=38,503: Δ=2
2021-09-27,16685: Δ=72,501: Δ=0
2021-09-26,16613: Δ=0,501: Δ=0
2021-09-25,16613: Δ=0,501: Δ=0
2021-09-24,16613: Δ=49,501: Δ=1
2021-09-23,16564: Δ=41,500: Δ=1
2021-09-22,16523: Δ=40,499: Δ=3
2021-09-21,16483: Δ=24,496: Δ=1
2021-09-20,16459: Δ=95,495: Δ=0
2021-09-19,16364: Δ=0,495: Δ=0
2021-09-18,16364: Δ=0,495: Δ=0
2021-09-17,16364: Δ=40,495: Δ=1
2021-09-16,16324: Δ=51,494: Δ=0
2021-09-15,16273: Δ=46,494: Δ=2
2021-09-14,16227: Δ=42,492: Δ=1
2021-09-13,16185: Δ=127,491: Δ=1
2021-09-12,16058: Δ=0,490: Δ=0
2021-09-11,16058: Δ=0,490: Δ=0
2021-09-10,16058: Δ=41,490: Δ=0
2021-09-09,16017: Δ=93,490: Δ=2
2021-09-08,15924: Δ=44,488: Δ=0
2021-09-07,15880: Δ=203,488: Δ=0
2021-09-06,15677: Δ=0,488: Δ=0
2021-09-05,15677: Δ=0,488: Δ=0
2021-09-04,15677: Δ=0,488: Δ=0
2021-09-03,15677: Δ=65,488: Δ=0
2021-09-02,15612: Δ=36,488: Δ=0
2021-09-01,15576: Δ=52,488: Δ=0
2021-08-31,15524: Δ=42,488: Δ=0
2021-08-30,15482: Δ=183,488: Δ=1
2021-08-29,15299: Δ=0,487: Δ=0
2021-08-28,15299: Δ=0,487: Δ=0
2021-08-27,15299: Δ=38,487: Δ=0
2021-08-26,15261: Δ=41,487: Δ=1
