Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,8278: Δ=0,315: Δ=0
2021-10-09,8278: Δ=0,315: Δ=0
2021-10-08,8278: Δ=34,315: Δ=0
2021-10-07,8244: Δ=15,315: Δ=0
2021-10-06,8229: Δ=22,315: Δ=2
2021-10-05,8207: Δ=17,313: Δ=0
2021-10-04,8190: Δ=58,313: Δ=0
2021-10-03,8132: Δ=0,313: Δ=0
2021-10-02,8132: Δ=0,313: Δ=0
2021-10-01,8132: Δ=21,313: Δ=0
2021-09-30,8111: Δ=28,313: Δ=0
2021-09-29,8083: Δ=24,313: Δ=1
2021-09-28,8059: Δ=8,312: Δ=0
2021-09-27,8051: Δ=56,312: Δ=0
2021-09-26,7995: Δ=0,312: Δ=0
2021-09-25,7995: Δ=0,312: Δ=0
2021-09-24,7995: Δ=24,312: Δ=0
2021-09-23,7971: Δ=34,312: Δ=0
2021-09-22,7937: Δ=24,312: Δ=0
2021-09-21,7913: Δ=23,312: Δ=2
2021-09-20,7890: Δ=65,310: Δ=1
2021-09-19,7825: Δ=0,309: Δ=0
2021-09-18,7825: Δ=0,309: Δ=0
2021-09-17,7825: Δ=37,309: Δ=-1
2021-09-16,7788: Δ=21,310: Δ=1
2021-09-15,7767: Δ=26,309: Δ=0
2021-09-14,7741: Δ=23,309: Δ=2
2021-09-13,7718: Δ=79,307: Δ=1
2021-09-12,7639: Δ=0,306: Δ=0
2021-09-11,7639: Δ=0,306: Δ=0
2021-09-10,7639: Δ=34,306: Δ=0
2021-09-09,7605: Δ=14,306: Δ=2
2021-09-08,7591: Δ=11,304: Δ=0
2021-09-07,7580: Δ=106,304: Δ=0
2021-09-06,7474: Δ=0,304: Δ=0
2021-09-05,7474: Δ=0,304: Δ=0
2021-09-04,7474: Δ=0,304: Δ=0
2021-09-03,7474: Δ=20,304: Δ=0
2021-09-02,7454: Δ=29,304: Δ=0
2021-09-01,7425: Δ=36,304: Δ=0
2021-08-31,7389: Δ=21,304: Δ=1
2021-08-30,7368: Δ=101,303: Δ=0
2021-08-29,7267: Δ=0,303: Δ=0
2021-08-28,7267: Δ=0,303: Δ=0
2021-08-27,7267: Δ=34,303: Δ=0
2021-08-26,7233: Δ=33,303: Δ=1
2021-08-25,7200: Δ=23,302: Δ=0
2021-08-24,7177: Δ=19,302: Δ=1
2021-08-23,7158: Δ=87,301: Δ=0
2021-08-22,7071: Δ=0,301: Δ=0
2021-08-21,7071: Δ=0,301: Δ=0
2021-08-20,7071: Δ=20,301: Δ=0
2021-08-19,7051: Δ=28,301: Δ=0
2021-08-18,7023: Δ=12,301: Δ=2
2021-08-17,7011: Δ=26,299: Δ=1
2021-08-16,6985: Δ=65,298: Δ=1
2021-08-15,6920: Δ=0,297: Δ=0
2021-08-14,6920: Δ=0,297: Δ=0
2021-08-13,6920: Δ=24,297: Δ=2
2021-08-12,6896: Δ=17,295: Δ=2
2021-08-11,6879: Δ=14,293: Δ=0
2021-08-10,6865: Δ=10,293: Δ=3
2021-08-09,6855: Δ=60,290: Δ=0
2021-08-08,6795: Δ=0,290: Δ=0
2021-08-07,6795: Δ=0,290: Δ=0
2021-08-06,6795: Δ=23,290: Δ=0
2021-08-05,6772: Δ=18,290: Δ=0
2021-08-04,6754: Δ=21,290: Δ=0
2021-08-03,6733: Δ=12,290: Δ=0
2021-08-02,6721: Δ=61,290: Δ=0
2021-08-01,6660: Δ=0,290: Δ=0
2021-07-31,6660: Δ=0,290: Δ=0
2021-07-30,6660: Δ=12,290: Δ=0
2021-07-29,6648: Δ=11,290: Δ=0
2021-07-28,6637: Δ=7,290: Δ=0
2021-07-27,6630: Δ=1,290: Δ=1
2021-07-26,6629: Δ=11,289: Δ=0
2021-07-25,6618: Δ=0,289: Δ=0
2021-07-24,6618: Δ=0,289: Δ=0
2021-07-23,6618: Δ=14,289: Δ=0
2021-07-22,6604: Δ=6,289: Δ=0
2021-07-21,6598: Δ=3,289: Δ=0
2021-07-20,6595: Δ=3,289: Δ=1
2021-07-19,6592: Δ=2,288: Δ=0
2021-07-18,6590: Δ=0,288: Δ=0
2021-07-17,6590: Δ=0,288: Δ=0
2021-07-16,6590: Δ=4,288: Δ=0
2021-07-15,6586: Δ=1,288: Δ=0
2021-07-14,6585: Δ=3,288: Δ=0
2021-07-13,6582: Δ=0,288: Δ=0
2021-07-12,6582: Δ=6,288: Δ=0
2021-07-11,6576: Δ=0,288: Δ=0
2021-07-10,6576: Δ=0,288: Δ=0
2021-07-09,6576: Δ=2,288: Δ=0
2021-07-08,6574: Δ=1,288: Δ=0
2021-07-07,6573: Δ=1,288: Δ=0
2021-07-06,6572: Δ=10,288: Δ=0
2021-07-05,6562: Δ=0,288: Δ=0
2021-07-04,6562: Δ=0,288: Δ=0
2021-07-03,6562: Δ=0,288: Δ=0
2021-07-02,6562: Δ=0,288: Δ=0
2021-07-01,6562: Δ=4,288: Δ=0
2021-06-30,6558: Δ=5,288: Δ=0
2021-06-29,6553: Δ=0,288: Δ=0
2021-06-28,6553: Δ=0,288: Δ=0
2021-06-27,6553: Δ=1,288: Δ=0
2021-06-26,6552: Δ=0,288: Δ=0
2021-06-25,6552: Δ=1,288: Δ=0
2021-06-24,6551: Δ=1,288: Δ=0
2021-06-23,6550: Δ=2,288: Δ=0
2021-06-22,6548: Δ=2,288: Δ=0
2021-06-21,6546: Δ=1,288: Δ=1
2021-06-20,6545: Δ=5,287: Δ=0
2021-06-19,6540: Δ=0,287: Δ=0
2021-06-18,6540: Δ=1,287: Δ=0
2021-06-17,6539: Δ=2,287: Δ=0
2021-06-16,6537: Δ=0,287: Δ=0
