Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,78542: Δ=0,1846: Δ=0
2021-10-09,78542: Δ=0,1846: Δ=0
2021-10-08,78542: Δ=165,1846: Δ=1
2021-10-07,78377: Δ=190,1845: Δ=4
2021-10-06,78187: Δ=199,1841: Δ=0
2021-10-05,77988: Δ=183,1841: Δ=5
2021-10-04,77805: Δ=384,1836: Δ=1
2021-10-03,77421: Δ=0,1835: Δ=0
2021-10-02,77421: Δ=0,1835: Δ=0
2021-10-01,77421: Δ=194,1835: Δ=5
2021-09-30,77227: Δ=187,1830: Δ=3
2021-09-29,77040: Δ=200,1827: Δ=1
2021-09-28,76840: Δ=174,1826: Δ=3
2021-09-27,76666: Δ=465,1823: Δ=2
2021-09-26,76201: Δ=0,1821: Δ=0
2021-09-25,76201: Δ=0,1821: Δ=0
2021-09-24,76201: Δ=204,1821: Δ=3
2021-09-23,75997: Δ=231,1818: Δ=8
2021-09-22,75766: Δ=286,1810: Δ=3
2021-09-21,75480: Δ=194,1807: Δ=2
2021-09-20,75286: Δ=434,1805: Δ=2
2021-09-19,74852: Δ=0,1803: Δ=0
2021-09-18,74852: Δ=0,1803: Δ=0
2021-09-17,74852: Δ=243,1803: Δ=0
2021-09-16,74609: Δ=191,1803: Δ=1
2021-09-15,74418: Δ=348,1802: Δ=2
2021-09-14,74070: Δ=159,1800: Δ=3
2021-09-13,73911: Δ=444,1797: Δ=2
2021-09-12,73467: Δ=0,1795: Δ=0
2021-09-11,73467: Δ=0,1795: Δ=0
2021-09-10,73467: Δ=121,1795: Δ=2
2021-09-09,73346: Δ=236,1793: Δ=1
2021-09-08,73110: Δ=134,1792: Δ=7
2021-09-07,72976: Δ=568,1785: Δ=1
2021-09-06,72408: Δ=0,1784: Δ=0
2021-09-05,72408: Δ=0,1784: Δ=0
2021-09-04,72408: Δ=0,1784: Δ=0
2021-09-03,72408: Δ=183,1784: Δ=1
2021-09-02,72225: Δ=178,1783: Δ=0
2021-09-01,72047: Δ=170,1783: Δ=4
2021-08-31,71877: Δ=148,1779: Δ=4
2021-08-30,71729: Δ=347,1775: Δ=0
2021-08-29,71382: Δ=0,1775: Δ=0
2021-08-28,71382: Δ=0,1775: Δ=0
2021-08-27,71382: Δ=146,1775: Δ=2
2021-08-26,71236: Δ=193,1773: Δ=2
2021-08-25,71043: Δ=138,1771: Δ=0
2021-08-24,70905: Δ=143,1771: Δ=3
2021-08-23,70762: Δ=328,1768: Δ=1
2021-08-22,70434: Δ=0,1767: Δ=0
2021-08-21,70434: Δ=0,1767: Δ=0
2021-08-20,70434: Δ=129,1767: Δ=1
2021-08-19,70305: Δ=163,1766: Δ=1
2021-08-18,70142: Δ=228,1765: Δ=3
2021-08-17,69914: Δ=121,1762: Δ=1
2021-08-16,69793: Δ=322,1761: Δ=1
2021-08-15,69471: Δ=0,1760: Δ=0
2021-08-14,69471: Δ=0,1760: Δ=0
2021-08-13,69471: Δ=112,1760: Δ=2
2021-08-12,69359: Δ=122,1758: Δ=1
2021-08-11,69237: Δ=168,1757: Δ=2
2021-08-10,69069: Δ=125,1755: Δ=1
2021-08-09,68944: Δ=289,1754: Δ=0
2021-08-08,68655: Δ=0,1754: Δ=0
2021-08-07,68655: Δ=0,1754: Δ=0
2021-08-06,68655: Δ=140,1754: Δ=0
2021-08-05,68515: Δ=128,1754: Δ=0
2021-08-04,68387: Δ=157,1754: Δ=2
2021-08-03,68230: Δ=118,1752: Δ=-1
2021-08-02,68112: Δ=217,1753: Δ=0
2021-08-01,67895: Δ=0,1753: Δ=0
2021-07-31,67895: Δ=0,1753: Δ=0
2021-07-30,67895: Δ=106,1753: Δ=0
2021-07-29,67789: Δ=102,1753: Δ=0
2021-07-28,67687: Δ=76,1753: Δ=0
2021-07-27,67611: Δ=77,1753: Δ=1
2021-07-26,67534: Δ=108,1752: Δ=0
2021-07-25,67426: Δ=0,1752: Δ=0
2021-07-24,67426: Δ=0,1752: Δ=0
2021-07-23,67426: Δ=67,1752: Δ=0
2021-07-22,67359: Δ=48,1752: Δ=2
2021-07-21,67311: Δ=70,1750: Δ=0
2021-07-20,67241: Δ=37,1750: Δ=0
2021-07-19,67204: Δ=70,1750: Δ=0
2021-07-18,67134: Δ=0,1750: Δ=0
2021-07-17,67134: Δ=0,1750: Δ=0
2021-07-16,67134: Δ=27,1750: Δ=1
2021-07-15,67107: Δ=33,1749: Δ=0
2021-07-14,67074: Δ=30,1749: Δ=0
2021-07-13,67044: Δ=16,1749: Δ=0
2021-07-12,67028: Δ=34,1749: Δ=1
2021-07-11,66994: Δ=0,1748: Δ=0
2021-07-10,66994: Δ=0,1748: Δ=0
2021-07-09,66994: Δ=11,1748: Δ=1
2021-07-08,66983: Δ=17,1747: Δ=0
2021-07-07,66966: Δ=7,1747: Δ=1
2021-07-06,66959: Δ=31,1746: Δ=1
2021-07-05,66928: Δ=0,1745: Δ=0
2021-07-04,66928: Δ=0,1745: Δ=0
2021-07-03,66928: Δ=0,1745: Δ=0
2021-07-02,66928: Δ=6,1745: Δ=0
2021-07-01,66922: Δ=4,1745: Δ=0
2021-06-30,66918: Δ=5,1745: Δ=1
2021-06-29,66913: Δ=13,1744: Δ=0
2021-06-28,66900: Δ=2,1744: Δ=-1
2021-06-27,66898: Δ=5,1745: Δ=0
2021-06-26,66893: Δ=6,1745: Δ=0
2021-06-25,66887: Δ=3,1745: Δ=0
2021-06-24,66884: Δ=-1,1745: Δ=1
2021-06-23,66885: Δ=5,1744: Δ=0
2021-06-22,66880: Δ=4,1744: Δ=0
2021-06-21,66876: Δ=5,1744: Δ=0
2021-06-20,66871: Δ=2,1744: Δ=1
2021-06-19,66869: Δ=13,1743: Δ=0
2021-06-18,66856: Δ=7,1743: Δ=0
2021-06-17,66849: Δ=9,1743: Δ=1
2021-06-16,66840: Δ=11,1742: Δ=0
2021-06-15,66829: Δ=8,1742: Δ=2
2021-06-14,66821: Δ=2,1740: Δ=3
2021-06-13,66819: Δ=5,1737: Δ=0
2021-06-12,66814: Δ=18,1737: Δ=0
2021-06-11,66796: Δ=14,1737: Δ=2
2021-06-10,66782: Δ=15,1735: Δ=2
2021-06-09,66767: Δ=6,1733: Δ=2
2021-06-08,66761: Δ=5,1731: Δ=0
2021-06-07,66756: Δ=10,1731: Δ=0
2021-06-06,66746: Δ=10,1731: Δ=0
2021-06-05,66736: Δ=22,1731: Δ=0
2021-06-04,66714: Δ=17,1731: Δ=1
2021-06-03,66697: Δ=25,1730: Δ=1
2021-06-02,66672: Δ=17,1729: Δ=0
2021-06-01,66655: Δ=18,1729: Δ=1
2021-05-31,66637: Δ=0,1728: Δ=0
2021-05-30,66637: Δ=26,1728: Δ=2
2021-05-29,66611: Δ=23,1726: Δ=0
2021-05-28,66588: Δ=32,1726: Δ=0
2021-05-27,66556: Δ=28,1726: Δ=-2
2021-05-26,66528: Δ=20,1728: Δ=1
2021-05-25,66508: Δ=31,1727: Δ=2
2021-05-24,66477: Δ=16,1725: Δ=0
2021-05-23,66461: Δ=23,1725: Δ=2
2021-05-22,66438: Δ=51,1723: Δ=1
2021-05-21,66387: Δ=39,1722: Δ=2
2021-05-20,66348: Δ=94,1720: Δ=1
2021-05-19,66254: Δ=70,1719: Δ=1
2021-05-18,66184: Δ=49,1718: Δ=1
2021-05-17,66135: Δ=23,1717: Δ=-4
2021-05-16,66112: Δ=66,1721: Δ=0
2021-05-15,66046: Δ=86,1721: Δ=1
2021-05-14,65960: Δ=38,1720: Δ=4
2021-05-13,65922: Δ=65,1716: Δ=5
