Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,1809: Δ=0,0: Δ=0
2021-10-09,1809: Δ=0,0: Δ=0
2021-10-08,1809: Δ=10,0: Δ=0
2021-10-07,1799: Δ=3,0: Δ=0
2021-10-06,1796: Δ=3,0: Δ=0
2021-10-05,1793: Δ=1,0: Δ=0
2021-10-04,1792: Δ=2,0: Δ=0
2021-10-03,1790: Δ=0,0: Δ=0
2021-10-02,1790: Δ=0,0: Δ=0
2021-10-01,1790: Δ=3,0: Δ=0
2021-09-30,1787: Δ=-1,0: Δ=0
2021-09-29,1788: Δ=1,0: Δ=0
2021-09-28,1787: Δ=1,0: Δ=0
2021-09-27,1786: Δ=1,0: Δ=0
2021-09-26,1785: Δ=0,0: Δ=0
2021-09-25,1785: Δ=0,0: Δ=0
2021-09-24,1785: Δ=0,0: Δ=0
2021-09-23,1785: Δ=2,0: Δ=0
2021-09-22,1783: Δ=1,0: Δ=0
2021-09-21,1782: Δ=5,0: Δ=0
2021-09-20,1777: Δ=4,0: Δ=0
2021-09-19,1773: Δ=0,0: Δ=0
2021-09-18,1773: Δ=0,0: Δ=0
2021-09-17,1773: Δ=4,0: Δ=0
2021-09-16,1769: Δ=5,0: Δ=0
2021-09-15,1764: Δ=5,0: Δ=0
2021-09-14,1759: Δ=2,0: Δ=0
2021-09-13,1757: Δ=15,0: Δ=0
2021-09-12,1742: Δ=0,0: Δ=0
2021-09-11,1742: Δ=0,0: Δ=0
2021-09-10,1742: Δ=2,0: Δ=0
2021-09-09,1740: Δ=7,0: Δ=0
2021-09-08,1733: Δ=3,0: Δ=0
2021-09-07,1730: Δ=15,0: Δ=0
2021-09-06,1715: Δ=0,0: Δ=0
2021-09-05,1715: Δ=0,0: Δ=0
2021-09-04,1715: Δ=0,0: Δ=0
2021-09-03,1715: Δ=12,0: Δ=0
2021-09-02,1703: Δ=15,0: Δ=0
2021-09-01,1688: Δ=4,0: Δ=0
2021-08-31,1684: Δ=5,0: Δ=0
2021-08-30,1679: Δ=26,0: Δ=0
2021-08-29,1653: Δ=0,0: Δ=0
2021-08-28,1653: Δ=0,0: Δ=0
2021-08-27,1653: Δ=13,0: Δ=0
2021-08-26,1640: Δ=13,0: Δ=0
2021-08-25,1627: Δ=6,0: Δ=0
2021-08-24,1621: Δ=3,0: Δ=0
2021-08-23,1618: Δ=35,0: Δ=0
2021-08-22,1583: Δ=0,0: Δ=0
2021-08-21,1583: Δ=0,0: Δ=0
2021-08-20,1583: Δ=12,0: Δ=0
2021-08-19,1571: Δ=17,0: Δ=0
2021-08-18,1554: Δ=9,0: Δ=0
2021-08-17,1545: Δ=8,0: Δ=0
2021-08-16,1537: Δ=16,0: Δ=0
2021-08-15,1521: Δ=0,0: Δ=0
2021-08-14,1521: Δ=0,0: Δ=0
2021-08-13,1521: Δ=19,0: Δ=0
2021-08-12,1502: Δ=1,0: Δ=0
2021-08-11,1501: Δ=8,0: Δ=0
2021-08-10,1493: Δ=2,0: Δ=0
2021-08-09,1491: Δ=28,0: Δ=0
2021-08-08,1463: Δ=0,0: Δ=0
2021-08-07,1463: Δ=0,0: Δ=0
2021-08-06,1463: Δ=4,0: Δ=0
2021-08-05,1459: Δ=3,0: Δ=0
2021-08-04,1456: Δ=2,0: Δ=0
2021-08-03,1454: Δ=7,0: Δ=0
2021-08-02,1447: Δ=7,0: Δ=0
2021-08-01,1440: Δ=0,0: Δ=0
2021-07-31,1440: Δ=0,0: Δ=0
2021-07-30,1440: Δ=3,0: Δ=0
2021-07-29,1437: Δ=0,0: Δ=0
2021-07-28,1437: Δ=1,0: Δ=0
2021-07-27,1436: Δ=0,0: Δ=0
2021-07-26,1436: Δ=0,0: Δ=0
2021-07-25,1436: Δ=0,0: Δ=0
2021-07-24,1436: Δ=0,0: Δ=0
2021-07-23,1436: Δ=1,0: Δ=0
2021-07-22,1435: Δ=-1,0: Δ=0
2021-07-21,1436: Δ=2,0: Δ=0
2021-07-20,1434: Δ=4,0: Δ=0
2021-07-19,1430: Δ=3,0: Δ=0
2021-07-18,1427: Δ=0,0: Δ=0
2021-07-17,1427: Δ=0,0: Δ=0
2021-07-16,1427: Δ=5,0: Δ=0
2021-07-15,1422: Δ=0,0: Δ=0
2021-07-14,1422: Δ=0,0: Δ=0
2021-07-13,1422: Δ=3,0: Δ=0
2021-07-12,1419: Δ=2,0: Δ=0
2021-07-11,1417: Δ=0,0: Δ=0
2021-07-10,1417: Δ=0,0: Δ=0
2021-07-09,1417: Δ=-1,0: Δ=0
2021-07-08,1418: Δ=0,0: Δ=0
2021-07-07,1418: Δ=3,0: Δ=0
2021-07-06,1415: Δ=0,0: Δ=0
2021-07-05,1415: Δ=0,0: Δ=0
2021-07-04,1415: Δ=0,0: Δ=0
2021-07-03,1415: Δ=0,0: Δ=0
2021-07-02,1415: Δ=0,0: Δ=0
2021-07-01,1415: Δ=1,0: Δ=0
2021-06-30,1414: Δ=0,0: Δ=0
2021-06-29,1414: Δ=1,0: Δ=0
2021-06-28,1413: Δ=0,0: Δ=0
2021-06-27,1413: Δ=0,0: Δ=0
2021-06-26,1413: Δ=-1,0: Δ=0
2021-06-25,1414: Δ=0,0: Δ=0
2021-06-24,1414: Δ=0,0: Δ=0
2021-06-23,1414: Δ=0,0: Δ=0
2021-06-22,1414: Δ=0,0: Δ=0
2021-06-21,1414: Δ=0,0: Δ=0
2021-06-20,1414: Δ=0,0: Δ=0
2021-06-19,1414: Δ=0,0: Δ=0
2021-06-18,1414: Δ=0,0: Δ=0
2021-06-17,1414: Δ=0,0: Δ=0
2021-06-16,1414: Δ=1,0: Δ=0
2021-06-15,1413: Δ=1,0: Δ=0
2021-06-14,1412: Δ=0,0: Δ=-2
2021-06-13,1412: Δ=-1,2: Δ=2
2021-06-12,1413: Δ=0,0: Δ=0
2021-06-11,1413: Δ=0,0: Δ=0
2021-06-10,1413: Δ=0,0: Δ=0
2021-06-09,1413: Δ=0,0: Δ=0
2021-06-08,1413: Δ=1,0: Δ=0
2021-06-07,1412: Δ=0,0: Δ=0
2021-06-06,1412: Δ=1,0: Δ=0
2021-06-05,1411: Δ=0,0: Δ=0
2021-06-04,1411: Δ=1,0: Δ=0
2021-06-03,1410: Δ=1,0: Δ=0
2021-06-02,1409: Δ=1,0: Δ=0
2021-06-01,1408: Δ=0,0: Δ=0
2021-05-31,1408: Δ=0,0: Δ=0
2021-05-30,1408: Δ=1,0: Δ=0
2021-05-29,1407: Δ=4,0: Δ=0
2021-05-28,1403: Δ=2,0: Δ=0
