Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,109928: Δ=0,2479: Δ=0
2021-10-09,109928: Δ=0,2479: Δ=0
2021-10-08,109928: Δ=217,2479: Δ=2
2021-10-07,109711: Δ=193,2477: Δ=2
2021-10-06,109518: Δ=224,2475: Δ=3
2021-10-05,109294: Δ=138,2472: Δ=2
2021-10-04,109156: Δ=368,2470: Δ=2
2021-10-03,108788: Δ=0,2468: Δ=0
2021-10-02,108788: Δ=0,2468: Δ=0
2021-10-01,108788: Δ=192,2468: Δ=0
2021-09-30,108596: Δ=188,2468: Δ=6
2021-09-29,108408: Δ=201,2462: Δ=4
2021-09-28,108207: Δ=213,2458: Δ=4
2021-09-27,107994: Δ=536,2454: Δ=1
2021-09-26,107458: Δ=0,2453: Δ=0
2021-09-25,107458: Δ=0,2453: Δ=0
2021-09-24,107458: Δ=210,2453: Δ=0
2021-09-23,107248: Δ=284,2453: Δ=0
2021-09-22,106964: Δ=213,2453: Δ=1
2021-09-21,106751: Δ=144,2452: Δ=1
2021-09-20,106607: Δ=465,2451: Δ=1
2021-09-19,106142: Δ=0,2450: Δ=0
2021-09-18,106142: Δ=0,2450: Δ=0
2021-09-17,106142: Δ=233,2450: Δ=3
2021-09-16,105909: Δ=214,2447: Δ=0
2021-09-15,105695: Δ=323,2447: Δ=0
2021-09-14,105372: Δ=194,2447: Δ=4
2021-09-13,105178: Δ=482,2443: Δ=2
2021-09-12,104696: Δ=0,2441: Δ=0
2021-09-11,104696: Δ=0,2441: Δ=0
2021-09-10,104696: Δ=208,2441: Δ=0
2021-09-09,104488: Δ=227,2441: Δ=3
2021-09-08,104261: Δ=163,2438: Δ=0
2021-09-07,104098: Δ=651,2438: Δ=3
2021-09-06,103447: Δ=0,2435: Δ=0
2021-09-05,103447: Δ=0,2435: Δ=0
2021-09-04,103447: Δ=0,2435: Δ=0
2021-09-03,103447: Δ=156,2435: Δ=1
2021-09-02,103291: Δ=231,2434: Δ=2
2021-09-01,103060: Δ=196,2432: Δ=1
2021-08-31,102864: Δ=159,2431: Δ=4
2021-08-30,102705: Δ=439,2427: Δ=0
2021-08-29,102266: Δ=0,2427: Δ=0
2021-08-28,102266: Δ=0,2427: Δ=0
2021-08-27,102266: Δ=171,2427: Δ=0
2021-08-26,102095: Δ=219,2427: Δ=1
2021-08-25,101876: Δ=175,2426: Δ=2
2021-08-24,101701: Δ=139,2424: Δ=2
2021-08-23,101562: Δ=370,2422: Δ=0
2021-08-22,101192: Δ=0,2422: Δ=0
2021-08-21,101192: Δ=0,2422: Δ=0
2021-08-20,101192: Δ=163,2422: Δ=0
2021-08-19,101029: Δ=146,2422: Δ=1
2021-08-18,100883: Δ=177,2421: Δ=0
2021-08-17,100706: Δ=136,2421: Δ=2
2021-08-16,100570: Δ=285,2419: Δ=1
2021-08-15,100285: Δ=0,2418: Δ=0
2021-08-14,100285: Δ=0,2418: Δ=0
2021-08-13,100285: Δ=124,2418: Δ=2
2021-08-12,100161: Δ=149,2416: Δ=1
2021-08-11,100012: Δ=151,2415: Δ=1
2021-08-10,99861: Δ=146,2414: Δ=1
2021-08-09,99715: Δ=287,2413: Δ=1
2021-08-08,99428: Δ=0,2412: Δ=0
2021-08-07,99428: Δ=0,2412: Δ=0
2021-08-06,99428: Δ=103,2412: Δ=0
2021-08-05,99325: Δ=122,2412: Δ=0
2021-08-04,99203: Δ=90,2412: Δ=1
2021-08-03,99113: Δ=91,2411: Δ=0
2021-08-02,99022: Δ=206,2411: Δ=0
2021-08-01,98816: Δ=0,2411: Δ=0
2021-07-31,98816: Δ=0,2411: Δ=0
2021-07-30,98816: Δ=73,2411: Δ=0
2021-07-29,98743: Δ=58,2411: Δ=0
2021-07-28,98685: Δ=58,2411: Δ=1
2021-07-27,98627: Δ=92,2410: Δ=0
2021-07-26,98535: Δ=120,2410: Δ=0
2021-07-25,98415: Δ=0,2410: Δ=0
2021-07-24,98415: Δ=0,2410: Δ=0
2021-07-23,98415: Δ=57,2410: Δ=0
2021-07-22,98358: Δ=38,2410: Δ=0
2021-07-21,98320: Δ=43,2410: Δ=2
2021-07-20,98277: Δ=38,2408: Δ=1
2021-07-19,98239: Δ=66,2407: Δ=1
2021-07-18,98173: Δ=0,2406: Δ=0
2021-07-17,98173: Δ=0,2406: Δ=0
2021-07-16,98173: Δ=13,2406: Δ=0
2021-07-15,98160: Δ=25,2406: Δ=0
2021-07-14,98135: Δ=23,2406: Δ=0
