Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,3291: Δ=0,121: Δ=0
2021-10-09,3291: Δ=0,121: Δ=0
2021-10-08,3291: Δ=11,121: Δ=0
2021-10-07,3280: Δ=8,121: Δ=0
2021-10-06,3272: Δ=3,121: Δ=1
2021-10-05,3269: Δ=5,120: Δ=0
2021-10-04,3264: Δ=29,120: Δ=0
2021-10-03,3235: Δ=0,120: Δ=0
2021-10-02,3235: Δ=0,120: Δ=0
2021-10-01,3235: Δ=17,120: Δ=0
2021-09-30,3218: Δ=5,120: Δ=1
2021-09-29,3213: Δ=1,119: Δ=1
2021-09-28,3212: Δ=7,118: Δ=0
2021-09-27,3205: Δ=45,118: Δ=0
2021-09-26,3160: Δ=0,118: Δ=0
2021-09-25,3160: Δ=0,118: Δ=0
2021-09-24,3160: Δ=10,118: Δ=0
2021-09-23,3150: Δ=14,118: Δ=1
2021-09-22,3136: Δ=11,117: Δ=-1
2021-09-21,3125: Δ=17,118: Δ=3
2021-09-20,3108: Δ=51,115: Δ=0
2021-09-19,3057: Δ=0,115: Δ=0
2021-09-18,3057: Δ=0,115: Δ=0
2021-09-17,3057: Δ=15,115: Δ=0
2021-09-16,3042: Δ=14,115: Δ=0
2021-09-15,3028: Δ=26,115: Δ=0
2021-09-14,3002: Δ=8,115: Δ=0
2021-09-13,2994: Δ=57,115: Δ=0
2021-09-12,2937: Δ=0,115: Δ=0
2021-09-11,2937: Δ=0,115: Δ=0
2021-09-10,2937: Δ=21,115: Δ=0
2021-09-09,2916: Δ=27,115: Δ=0
2021-09-08,2889: Δ=16,115: Δ=0
2021-09-07,2873: Δ=34,115: Δ=0
2021-09-06,2839: Δ=0,115: Δ=0
2021-09-05,2839: Δ=0,115: Δ=0
2021-09-04,2839: Δ=0,115: Δ=0
2021-09-03,2839: Δ=7,115: Δ=0
2021-09-02,2832: Δ=10,115: Δ=0
2021-09-01,2822: Δ=7,115: Δ=0
2021-08-31,2815: Δ=5,115: Δ=0
2021-08-30,2810: Δ=29,115: Δ=0
2021-08-29,2781: Δ=0,115: Δ=0
2021-08-28,2781: Δ=0,115: Δ=0
2021-08-27,2781: Δ=8,115: Δ=1
2021-08-26,2773: Δ=11,114: Δ=0
2021-08-25,2762: Δ=6,114: Δ=0
2021-08-24,2756: Δ=1,114: Δ=0
2021-08-23,2755: Δ=21,114: Δ=0
2021-08-22,2734: Δ=0,114: Δ=0
2021-08-21,2734: Δ=0,114: Δ=0
2021-08-20,2734: Δ=6,114: Δ=0
2021-08-19,2728: Δ=9,114: Δ=0
2021-08-18,2719: Δ=9,114: Δ=0
2021-08-17,2710: Δ=6,114: Δ=0
2021-08-16,2704: Δ=21,114: Δ=0
2021-08-15,2683: Δ=0,114: Δ=0
2021-08-14,2683: Δ=0,114: Δ=0
2021-08-13,2683: Δ=8,114: Δ=0
2021-08-12,2675: Δ=11,114: Δ=0
2021-08-11,2664: Δ=6,114: Δ=1
2021-08-10,2658: Δ=6,113: Δ=0
2021-08-09,2652: Δ=10,113: Δ=0
2021-08-08,2642: Δ=0,113: Δ=0
2021-08-07,2642: Δ=0,113: Δ=0
2021-08-06,2642: Δ=9,113: Δ=0
2021-08-05,2633: Δ=13,113: Δ=0
2021-08-04,2620: Δ=3,113: Δ=0
2021-08-03,2617: Δ=6,113: Δ=0
2021-08-02,2611: Δ=11,113: Δ=0
2021-08-01,2600: Δ=0,113: Δ=0
2021-07-31,2600: Δ=0,113: Δ=0
2021-07-30,2600: Δ=2,113: Δ=0
2021-07-29,2598: Δ=2,113: Δ=0
2021-07-28,2596: Δ=0,113: Δ=0
2021-07-27,2596: Δ=1,113: Δ=0
2021-07-26,2595: Δ=2,113: Δ=0
2021-07-25,2593: Δ=0,113: Δ=0
2021-07-24,2593: Δ=0,113: Δ=0
2021-07-23,2593: Δ=1,113: Δ=0
2021-07-22,2592: Δ=1,113: Δ=0
2021-07-21,2591: Δ=1,113: Δ=0
2021-07-20,2590: Δ=0,113: Δ=0
2021-07-19,2590: Δ=3,113: Δ=0
2021-07-18,2587: Δ=0,113: Δ=0
2021-07-17,2587: Δ=0,113: Δ=0
2021-07-16,2587: Δ=0,113: Δ=0
2021-07-15,2587: Δ=0,113: Δ=0
2021-07-14,2587: Δ=0,113: Δ=0
2021-07-13,2587: Δ=0,113: Δ=0
2021-07-12,2587: Δ=1,113: Δ=0
2021-07-11,2586: Δ=0,113: Δ=0
2021-07-10,2586: Δ=0,113: Δ=0
2021-07-09,2586: Δ=0,113: Δ=0
2021-07-08,2586: Δ=0,113: Δ=0
2021-07-07,2586: Δ=0,113: Δ=0
2021-07-06,2586: Δ=1,113: Δ=0
2021-07-05,2585: Δ=0,113: Δ=0
2021-07-04,2585: Δ=0,113: Δ=0
2021-07-03,2585: Δ=0,113: Δ=0
2021-07-02,2585: Δ=0,113: Δ=0
2021-07-01,2585: Δ=0,113: Δ=0
2021-06-30,2585: Δ=1,113: Δ=0
2021-06-29,2584: Δ=0,113: Δ=0
2021-06-28,2584: Δ=0,113: Δ=0
2021-06-27,2584: Δ=0,113: Δ=0
2021-06-26,2584: Δ=0,113: Δ=0
2021-06-25,2584: Δ=2,113: Δ=0
2021-06-24,2582: Δ=1,113: Δ=0
2021-06-23,2581: Δ=0,113: Δ=0
2021-06-22,2581: Δ=0,113: Δ=0
2021-06-21,2581: Δ=0,113: Δ=0
2021-06-20,2581: Δ=1,113: Δ=0
2021-06-19,2580: Δ=1,113: Δ=0
2021-06-18,2579: Δ=0,113: Δ=0
2021-06-17,2579: Δ=0,113: Δ=0
2021-06-16,2579: Δ=0,113: Δ=0
2021-06-15,2579: Δ=0,113: Δ=0
2021-06-14,2579: Δ=0,113: Δ=0
2021-06-13,2579: Δ=0,113: Δ=0
2021-06-12,2579: Δ=2,113: Δ=0
2021-06-11,2577: Δ=0,113: Δ=0
2021-06-10,2577: Δ=0,113: Δ=0
2021-06-09,2577: Δ=1,113: Δ=0
2021-06-08,2576: Δ=0,113: Δ=0
2021-06-07,2576: Δ=0,113: Δ=0
2021-06-06,2576: Δ=0,113: Δ=0
2021-06-05,2576: Δ=0,113: Δ=0
2021-06-04,2576: Δ=3,113: Δ=0
2021-06-03,2573: Δ=2,113: Δ=0
2021-06-02,2571: Δ=1,113: Δ=0
2021-06-01,2570: Δ=0,113: Δ=0
2021-05-31,2570: Δ=0,113: Δ=0
2021-05-30,2570: Δ=2,113: Δ=0
2021-05-29,2568: Δ=1,113: Δ=0
2021-05-28,2567: Δ=2,113: Δ=-1
2021-05-27,2565: Δ=-2,114: Δ=1
2021-05-26,2567: Δ=3,113: Δ=0
2021-05-25,2564: Δ=-1,113: Δ=0
2021-05-24,2565: Δ=4,113: Δ=0
2021-05-23,2561: Δ=2,113: Δ=0
2021-05-22,2559: Δ=1,113: Δ=0
2021-05-21,2558: Δ=2,113: Δ=0
2021-05-20,2556: Δ=4,113: Δ=0
2021-05-19,2552: Δ=1,113: Δ=0
2021-05-18,2551: Δ=2,113: Δ=0
2021-05-17,2549: Δ=2,113: Δ=0
2021-05-16,2547: Δ=2,113: Δ=0
2021-05-15,2545: Δ=4,113: Δ=0
2021-05-14,2541: Δ=4,113: Δ=0
2021-05-13,2537: Δ=6,113: Δ=0
2021-05-12,2531: Δ=5,113: Δ=0
2021-05-11,2526: Δ=3,113: Δ=0
2021-05-10,2523: Δ=2,113: Δ=0
2021-05-09,2521: Δ=8,113: Δ=0
2021-05-08,2513: Δ=4,113: Δ=0
2021-05-07,2509: Δ=6,113: Δ=0
2021-05-06,2503: Δ=12,113: Δ=0
2021-05-05,2491: Δ=5,113: Δ=0
2021-05-04,2486: Δ=3,113: Δ=0
2021-05-03,2483: Δ=3,113: Δ=0
2021-05-02,2480: Δ=6,113: Δ=0
2021-05-01,2474: Δ=12,113: Δ=0
2021-04-30,2462: Δ=11,113: Δ=0
2021-04-29,2451: Δ=8,113: Δ=1
2021-04-28,2443: Δ=8,112: Δ=0
