Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,63630: Δ=0,1636: Δ=0
2021-10-09,63630: Δ=0,1636: Δ=0
2021-10-08,63630: Δ=102,1636: Δ=2
2021-10-07,63528: Δ=134,1634: Δ=2
2021-10-06,63394: Δ=130,1632: Δ=4
2021-10-05,63264: Δ=85,1628: Δ=4
2021-10-04,63179: Δ=351,1624: Δ=0
2021-10-03,62828: Δ=0,1624: Δ=0
2021-10-02,62828: Δ=0,1624: Δ=0
2021-10-01,62828: Δ=165,1624: Δ=3
2021-09-30,62663: Δ=154,1621: Δ=4
2021-09-29,62509: Δ=120,1617: Δ=2
2021-09-28,62389: Δ=161,1615: Δ=4
2021-09-27,62228: Δ=488,1611: Δ=2
2021-09-26,61740: Δ=0,1609: Δ=0
2021-09-25,61740: Δ=0,1609: Δ=0
2021-09-24,61740: Δ=199,1609: Δ=3
2021-09-23,61541: Δ=190,1606: Δ=5
2021-09-22,61351: Δ=160,1601: Δ=3
2021-09-21,61191: Δ=141,1598: Δ=5
2021-09-20,61050: Δ=556,1593: Δ=0
2021-09-19,60494: Δ=0,1593: Δ=0
2021-09-18,60494: Δ=0,1593: Δ=0
2021-09-17,60494: Δ=261,1593: Δ=4
2021-09-16,60233: Δ=304,1589: Δ=4
2021-09-15,59929: Δ=331,1585: Δ=1
2021-09-14,59598: Δ=146,1584: Δ=8
2021-09-13,59452: Δ=572,1576: Δ=3
2021-09-12,58880: Δ=0,1573: Δ=0
2021-09-11,58880: Δ=0,1573: Δ=0
2021-09-10,58880: Δ=187,1573: Δ=7
2021-09-09,58693: Δ=202,1566: Δ=2
2021-09-08,58491: Δ=139,1564: Δ=0
2021-09-07,58352: Δ=696,1564: Δ=0
2021-09-06,57656: Δ=0,1564: Δ=0
2021-09-05,57656: Δ=0,1564: Δ=0
2021-09-04,57656: Δ=0,1564: Δ=0
2021-09-03,57656: Δ=202,1564: Δ=1
2021-09-02,57454: Δ=126,1563: Δ=0
2021-09-01,57328: Δ=202,1563: Δ=1
2021-08-31,57126: Δ=158,1562: Δ=2
2021-08-30,56968: Δ=494,1560: Δ=5
2021-08-29,56474: Δ=0,1555: Δ=0
2021-08-28,56474: Δ=0,1555: Δ=0
2021-08-27,56474: Δ=214,1555: Δ=2
2021-08-26,56260: Δ=236,1553: Δ=0
2021-08-25,56024: Δ=99,1553: Δ=0
2021-08-24,55925: Δ=144,1553: Δ=1
2021-08-23,55781: Δ=394,1552: Δ=1
2021-08-22,55387: Δ=0,1551: Δ=0
2021-08-21,55387: Δ=0,1551: Δ=0
2021-08-20,55387: Δ=169,1551: Δ=0
2021-08-19,55218: Δ=178,1551: Δ=1
2021-08-18,55040: Δ=158,1550: Δ=1
2021-08-17,54882: Δ=144,1549: Δ=0
2021-08-16,54738: Δ=399,1549: Δ=0
2021-08-15,54339: Δ=0,1549: Δ=0
2021-08-14,54339: Δ=0,1549: Δ=0
2021-08-13,54339: Δ=132,1549: Δ=1
2021-08-12,54207: Δ=118,1548: Δ=0
2021-08-11,54089: Δ=85,1548: Δ=1
2021-08-10,54004: Δ=107,1547: Δ=3
2021-08-09,53897: Δ=275,1544: Δ=1
2021-08-08,53622: Δ=0,1543: Δ=0
2021-08-07,53622: Δ=0,1543: Δ=0
2021-08-06,53622: Δ=105,1543: Δ=1
2021-08-05,53517: Δ=83,1542: Δ=0
2021-08-04,53434: Δ=87,1542: Δ=0
2021-08-03,53347: Δ=65,1542: Δ=0
2021-08-02,53282: Δ=182,1542: Δ=0
2021-08-01,53100: Δ=0,1542: Δ=0
2021-07-31,53100: Δ=0,1542: Δ=0
2021-07-30,53100: Δ=65,1542: Δ=0
2021-07-29,53035: Δ=66,1542: Δ=0
2021-07-28,52969: Δ=47,1542: Δ=1
2021-07-27,52922: Δ=29,1541: Δ=1
2021-07-26,52893: Δ=95,1540: Δ=1
2021-07-25,52798: Δ=0,1539: Δ=0
2021-07-24,52798: Δ=0,1539: Δ=0
2021-07-23,52798: Δ=37,1539: Δ=0
2021-07-22,52761: Δ=42,1539: Δ=0
2021-07-21,52719: Δ=23,1539: Δ=0
2021-07-20,52696: Δ=27,1539: Δ=0
2021-07-19,52669: Δ=66,1539: Δ=0
2021-07-18,52603: Δ=0,1539: Δ=0
2021-07-17,52603: Δ=0,1539: Δ=0
