Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,11321: Δ=0,317: Δ=0
2021-10-09,11321: Δ=0,317: Δ=0
2021-10-08,11321: Δ=26,317: Δ=0
2021-10-07,11295: Δ=14,317: Δ=0
2021-10-06,11281: Δ=16,317: Δ=1
2021-10-05,11265: Δ=10,316: Δ=1
2021-10-04,11255: Δ=54,315: Δ=0
2021-10-03,11201: Δ=0,315: Δ=0
2021-10-02,11201: Δ=0,315: Δ=0
2021-10-01,11201: Δ=29,315: Δ=0
2021-09-30,11172: Δ=20,315: Δ=0
2021-09-29,11152: Δ=12,315: Δ=1
2021-09-28,11140: Δ=25,314: Δ=0
2021-09-27,11115: Δ=72,314: Δ=1
2021-09-26,11043: Δ=0,313: Δ=0
2021-09-25,11043: Δ=0,313: Δ=0
2021-09-24,11043: Δ=52,313: Δ=0
2021-09-23,10991: Δ=49,313: Δ=0
2021-09-22,10942: Δ=31,313: Δ=2
2021-09-21,10911: Δ=20,311: Δ=1
2021-09-20,10891: Δ=106,310: Δ=1
2021-09-19,10785: Δ=0,309: Δ=0
2021-09-18,10785: Δ=0,309: Δ=0
2021-09-17,10785: Δ=70,309: Δ=2
2021-09-16,10715: Δ=107,307: Δ=0
2021-09-15,10608: Δ=128,307: Δ=0
2021-09-14,10480: Δ=34,307: Δ=0
2021-09-13,10446: Δ=236,307: Δ=0
2021-09-12,10210: Δ=0,307: Δ=0
2021-09-11,10210: Δ=0,307: Δ=0
2021-09-10,10210: Δ=104,307: Δ=0
2021-09-09,10106: Δ=46,307: Δ=0
2021-09-08,10060: Δ=14,307: Δ=0
2021-09-07,10046: Δ=136,307: Δ=0
2021-09-06,9910: Δ=0,307: Δ=0
2021-09-05,9910: Δ=0,307: Δ=0
2021-09-04,9910: Δ=0,307: Δ=0
2021-09-03,9910: Δ=50,307: Δ=2
2021-09-02,9860: Δ=16,305: Δ=2
2021-09-01,9844: Δ=19,303: Δ=0
2021-08-31,9825: Δ=34,303: Δ=0
2021-08-30,9791: Δ=72,303: Δ=1
2021-08-29,9719: Δ=0,302: Δ=0
2021-08-28,9719: Δ=0,302: Δ=0
2021-08-27,9719: Δ=28,302: Δ=0
2021-08-26,9691: Δ=40,302: Δ=1
2021-08-25,9651: Δ=19,301: Δ=0
2021-08-24,9632: Δ=12,301: Δ=1
2021-08-23,9620: Δ=66,300: Δ=0
2021-08-22,9554: Δ=0,300: Δ=0
2021-08-21,9554: Δ=0,300: Δ=0
2021-08-20,9554: Δ=29,300: Δ=0
2021-08-19,9525: Δ=17,300: Δ=0
2021-08-18,9508: Δ=14,300: Δ=0
2021-08-17,9494: Δ=23,300: Δ=0
2021-08-16,9471: Δ=39,300: Δ=0
2021-08-15,9432: Δ=0,300: Δ=0
