Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,154477: Δ=0,3889: Δ=0
2021-10-09,154477: Δ=0,3889: Δ=0
2021-10-08,154477: Δ=272,3889: Δ=4
2021-10-07,154205: Δ=267,3885: Δ=5
2021-10-06,153938: Δ=243,3880: Δ=2
2021-10-05,153695: Δ=229,3878: Δ=3
2021-10-04,153466: Δ=567,3875: Δ=2
2021-10-03,152899: Δ=0,3873: Δ=0
2021-10-02,152899: Δ=0,3873: Δ=0
2021-10-01,152899: Δ=242,3873: Δ=2
2021-09-30,152657: Δ=238,3871: Δ=5
2021-09-29,152419: Δ=271,3866: Δ=3
2021-09-28,152148: Δ=202,3863: Δ=2
2021-09-27,151946: Δ=677,3861: Δ=4
2021-09-26,151269: Δ=0,3857: Δ=0
2021-09-25,151269: Δ=0,3857: Δ=0
2021-09-24,151269: Δ=345,3857: Δ=2
2021-09-23,150924: Δ=320,3855: Δ=4
2021-09-22,150604: Δ=345,3851: Δ=2
2021-09-21,150259: Δ=205,3849: Δ=3
2021-09-20,150054: Δ=771,3846: Δ=2
2021-09-19,149283: Δ=0,3844: Δ=0
2021-09-18,149283: Δ=0,3844: Δ=0
2021-09-17,149283: Δ=337,3844: Δ=2
2021-09-16,148946: Δ=305,3842: Δ=4
2021-09-15,148641: Δ=464,3838: Δ=3
2021-09-14,148177: Δ=225,3835: Δ=1
2021-09-13,147952: Δ=770,3834: Δ=4
2021-09-12,147182: Δ=0,3830: Δ=0
2021-09-11,147182: Δ=0,3830: Δ=0
2021-09-10,147182: Δ=307,3830: Δ=3
2021-09-09,146875: Δ=364,3827: Δ=1
2021-09-08,146511: Δ=260,3826: Δ=5
2021-09-07,146251: Δ=960,3821: Δ=3
2021-09-06,145291: Δ=0,3818: Δ=0
2021-09-05,145291: Δ=0,3818: Δ=0
2021-09-04,145291: Δ=0,3818: Δ=0
2021-09-03,145291: Δ=291,3818: Δ=2
2021-09-02,145000: Δ=292,3816: Δ=1
2021-09-01,144708: Δ=301,3815: Δ=1
2021-08-31,144407: Δ=292,3814: Δ=3
2021-08-30,144115: Δ=753,3811: Δ=1
2021-08-29,143362: Δ=0,3810: Δ=0
2021-08-28,143362: Δ=0,3810: Δ=0
2021-08-27,143362: Δ=299,3810: Δ=0
2021-08-26,143063: Δ=302,3810: Δ=1
2021-08-25,142761: Δ=307,3809: Δ=1
2021-08-24,142454: Δ=245,3808: Δ=4
2021-08-23,142209: Δ=667,3804: Δ=1
2021-08-22,141542: Δ=0,3803: Δ=0
2021-08-21,141542: Δ=0,3803: Δ=0
2021-08-20,141542: Δ=286,3803: Δ=2
2021-08-19,141256: Δ=236,3801: Δ=0
2021-08-18,141020: Δ=276,3801: Δ=0
2021-08-17,140744: Δ=252,3801: Δ=0
2021-08-16,140492: Δ=595,3801: Δ=0
2021-08-15,139897: Δ=0,3801: Δ=0
2021-08-14,139897: Δ=0,3801: Δ=0
2021-08-13,139897: Δ=243,3801: Δ=1
2021-08-12,139654: Δ=253,3800: Δ=1
2021-08-11,139401: Δ=298,3799: Δ=1
2021-08-10,139103: Δ=223,3798: Δ=1
2021-08-09,138880: Δ=503,3797: Δ=0
2021-08-08,138377: Δ=0,3797: Δ=0
2021-08-07,138377: Δ=0,3797: Δ=0
2021-08-06,138377: Δ=205,3797: Δ=0
2021-08-05,138172: Δ=217,3797: Δ=1
2021-08-04,137955: Δ=193,3796: Δ=0
2021-08-03,137762: Δ=203,3796: Δ=2
2021-08-02,137559: Δ=372,3794: Δ=0
2021-08-01,137187: Δ=0,3794: Δ=0
2021-07-31,137187: Δ=0,3794: Δ=0
2021-07-30,137187: Δ=188,3794: Δ=1
2021-07-29,136999: Δ=153,3793: Δ=0
2021-07-28,136846: Δ=123,3793: Δ=1
2021-07-27,136723: Δ=129,3792: Δ=1
2021-07-26,136594: Δ=270,3791: Δ=0
2021-07-25,136324: Δ=0,3791: Δ=0
2021-07-24,136324: Δ=0,3791: Δ=0
2021-07-23,136324: Δ=114,3791: Δ=1
2021-07-22,136210: Δ=96,3790: Δ=2
2021-07-21,136114: Δ=94,3788: Δ=0
2021-07-20,136020: Δ=82,3788: Δ=1
2021-07-19,135938: Δ=147,3787: Δ=1
2021-07-18,135791: Δ=0,3786: Δ=0
2021-07-17,135791: Δ=0,3786: Δ=0
2021-07-16,135791: Δ=46,3786: Δ=0
2021-07-15,135745: Δ=38,3786: Δ=2
2021-07-14,135707: Δ=45,3784: Δ=1
2021-07-13,135662: Δ=53,3783: Δ=0
2021-07-12,135609: Δ=54,3783: Δ=1
2021-07-11,135555: Δ=0,3782: Δ=0
2021-07-10,135555: Δ=0,3782: Δ=0
2021-07-09,135555: Δ=32,3782: Δ=-2
2021-07-08,135523: Δ=18,3784: Δ=1
2021-07-07,135505: Δ=27,3783: Δ=1
2021-07-06,135478: Δ=51,3782: Δ=1
2021-07-05,135427: Δ=0,3781: Δ=0
2021-07-04,135427: Δ=0,3781: Δ=0
2021-07-03,135427: Δ=0,3781: Δ=0
2021-07-02,135427: Δ=26,3781: Δ=1
2021-07-01,135401: Δ=14,3780: Δ=2
2021-06-30,135387: Δ=18,3778: Δ=0
2021-06-29,135369: Δ=16,3778: Δ=0
2021-06-28,135353: Δ=11,3778: Δ=1
2021-06-27,135342: Δ=-20,3777: Δ=0
2021-06-26,135362: Δ=13,3777: Δ=0
2021-06-25,135349: Δ=17,3777: Δ=1
2021-06-24,135332: Δ=20,3776: Δ=0
2021-06-23,135312: Δ=18,3776: Δ=2
2021-06-22,135294: Δ=8,3774: Δ=0
2021-06-21,135286: Δ=8,3774: Δ=2
2021-06-20,135278: Δ=11,3772: Δ=0
2021-06-19,135267: Δ=19,3772: Δ=1
2021-06-18,135248: Δ=24,3771: Δ=1
2021-06-17,135224: Δ=6,3770: Δ=0
2021-06-16,135218: Δ=16,3770: Δ=0
2021-06-15,135202: Δ=11,3770: Δ=0
2021-06-14,135191: Δ=9,3770: Δ=0
2021-06-13,135182: Δ=10,3770: Δ=0
2021-06-12,135172: Δ=21,3770: Δ=0
2021-06-11,135151: Δ=15,3770: Δ=0
2021-06-10,135136: Δ=15,3770: Δ=1
2021-06-09,135121: Δ=14,3769: Δ=1
2021-06-08,135107: Δ=26,3768: Δ=1
2021-06-07,135081: Δ=15,3767: Δ=1
2021-06-06,135066: Δ=17,3766: Δ=2
2021-06-05,135049: Δ=42,3764: Δ=2
2021-06-04,135007: Δ=27,3762: Δ=1
2021-06-03,134980: Δ=52,3761: Δ=2
2021-06-02,134928: Δ=13,3759: Δ=0
2021-06-01,134915: Δ=44,3759: Δ=2
2021-05-31,134871: Δ=0,3757: Δ=0
2021-05-30,134871: Δ=25,3757: Δ=0
2021-05-29,134846: Δ=29,3757: Δ=2
2021-05-28,134817: Δ=59,3755: Δ=1
2021-05-27,134758: Δ=29,3754: Δ=1
2021-05-26,134729: Δ=72,3753: Δ=1
2021-05-25,134657: Δ=38,3752: Δ=1
2021-05-24,134619: Δ=36,3751: Δ=0
2021-05-23,134583: Δ=57,3751: Δ=0
2021-05-22,134526: Δ=87,3751: Δ=0
2021-05-21,134439: Δ=77,3751: Δ=2
2021-05-20,134362: Δ=76,3749: Δ=0
2021-05-19,134286: Δ=66,3749: Δ=3
2021-05-18,134220: Δ=53,3746: Δ=2
2021-05-17,134167: Δ=33,3744: Δ=5
2021-05-16,134134: Δ=87,3739: Δ=0
2021-05-15,134047: Δ=107,3739: Δ=0
2021-05-14,133940: Δ=50,3739: Δ=2
2021-05-13,133890: Δ=82,3737: Δ=1
2021-05-12,133808: Δ=140,3736: Δ=0
2021-05-11,133668: Δ=23,3736: Δ=0
2021-05-10,133645: Δ=74,3736: Δ=4
2021-05-09,133571: Δ=106,3732: Δ=0
2021-05-08,133465: Δ=136,3732: Δ=1
2021-05-07,133329: Δ=168,3731: Δ=2
2021-05-06,133161: Δ=194,3729: Δ=0
2021-05-05,132967: Δ=157,3729: Δ=4
2021-05-04,132810: Δ=127,3725: Δ=0
2021-05-03,132683: Δ=80,3725: Δ=4
2021-05-02,132603: Δ=145,3721: Δ=0
2021-05-01,132458: Δ=210,3721: Δ=1
2021-04-30,132248: Δ=237,3720: Δ=2
2021-04-29,132011: Δ=248,3718: Δ=3
2021-04-28,131763: Δ=276,3715: Δ=2
2021-04-27,131487: Δ=155,3713: Δ=0
2021-04-26,131332: Δ=158,3713: Δ=3
2021-04-25,131174: Δ=209,3710: Δ=1
2021-04-24,130965: Δ=304,3709: Δ=1
2021-04-23,130661: Δ=295,3708: Δ=3
2021-04-22,130366: Δ=263,3705: Δ=4
2021-04-21,130103: Δ=269,3701: Δ=1
2021-04-20,129834: Δ=150,3700: Δ=1
2021-04-19,129684: Δ=247,3699: Δ=3
2021-04-18,129437: Δ=265,3696: Δ=1
2021-04-17,129172: Δ=340,3695: Δ=1
2021-04-16,128832: Δ=431,3694: Δ=2
2021-04-15,128401: Δ=416,3692: Δ=0
2021-04-14,127985: Δ=435,3692: Δ=3
2021-04-13,127550: Δ=209,3689: Δ=0
2021-04-12,127341: Δ=334,3689: Δ=4
2021-04-11,127007: Δ=451,3685: Δ=0
2021-04-10,126556: Δ=496,3685: Δ=1
2021-04-09,126060: Δ=473,3684: Δ=1
2021-04-08,125587: Δ=465,3683: Δ=1
2021-04-07,125122: Δ=504,3682: Δ=2
2021-04-06,124618: Δ=321,3680: Δ=3
2021-04-05,124297: Δ=616,3677: Δ=11
2021-04-04,123681: Δ=0,3666: Δ=0
2021-04-03,123681: Δ=472,3666: Δ=5
2021-04-02,123209: Δ=452,3661: Δ=7
2021-04-01,122757: Δ=535,3654: Δ=9
2021-03-31,122222: Δ=485,3645: Δ=7
2021-03-30,121737: Δ=302,3638: Δ=2
2021-03-29,121435: Δ=354,3636: Δ=4
2021-03-28,121081: Δ=395,3632: Δ=8
2021-03-27,120686: Δ=516,3624: Δ=8
2021-03-26,120170: Δ=485,3616: Δ=7
2021-03-25,119685: Δ=462,3609: Δ=10
2021-03-24,119223: Δ=436,3599: Δ=12
2021-03-23,118787: Δ=283,3587: Δ=3
2021-03-22,118504: Δ=279,3584: Δ=7
2021-03-21,118225: Δ=385,3577: Δ=6
2021-03-20,117840: Δ=406,3571: Δ=10
2021-03-19,117434: Δ=403,3561: Δ=8
2021-03-18,117031: Δ=443,3553: Δ=3
2021-03-17,116588: Δ=413,3550: Δ=5
2021-03-16,116175: Δ=238,3545: Δ=5
2021-03-15,115937: Δ=240,3540: Δ=4
2021-03-14,115697: Δ=321,3536: Δ=6
2021-03-13,115376: Δ=347,3530: Δ=7
2021-03-12,115029: Δ=412,3523: Δ=9
2021-03-11,114617: Δ=318,3514: Δ=8
2021-03-10,114299: Δ=327,3506: Δ=7
2021-03-09,113972: Δ=206,3499: Δ=4
2021-03-08,113766: Δ=213,3495: Δ=2
2021-03-07,113553: Δ=291,3493: Δ=11
2021-03-06,113262: Δ=317,3482: Δ=10
2021-03-05,112945: Δ=302,3472: Δ=4
2021-03-04,112643: Δ=282,3468: Δ=8
2021-03-03,112361: Δ=311,3460: Δ=8
2021-03-02,112050: Δ=-16,3452: Δ=8
2021-03-01,112066: Δ=268,3444: Δ=6
2021-02-28,111798: Δ=293,3438: Δ=9
2021-02-27,111505: Δ=274,3429: Δ=9
2021-02-26,111231: Δ=332,3420: Δ=4
2021-02-25,110899: Δ=411,3416: Δ=7
2021-02-24,110488: Δ=372,3409: Δ=11
2021-02-23,110116: Δ=225,3398: Δ=9
2021-02-22,109891: Δ=212,3389: Δ=7
2021-02-21,109679: Δ=222,3382: Δ=11
2021-02-20,109457: Δ=364,3371: Δ=10
2021-02-19,109093: Δ=334,3361: Δ=10
2021-02-18,108759: Δ=348,3351: Δ=8
2021-02-17,108411: Δ=239,3343: Δ=7
2021-02-16,108172: Δ=176,3336: Δ=16
2021-02-15,107996: Δ=340,3320: Δ=8
2021-02-14,107656: Δ=340,3312: Δ=17
2021-02-13,107316: Δ=405,3295: Δ=13
2021-02-12,106911: Δ=429,3282: Δ=17
2021-02-11,106482: Δ=371,3265: Δ=9
2021-02-10,106111: Δ=357,3256: Δ=15
2021-02-09,105754: Δ=228,3241: Δ=13
2021-02-08,105526: Δ=260,3228: Δ=12
2021-02-07,105266: Δ=536,3216: Δ=14
2021-02-06,104730: Δ=588,3202: Δ=15
2021-02-05,104142: Δ=561,3187: Δ=21
2021-02-04,103581: Δ=419,3166: Δ=11
2021-02-03,103162: Δ=381,3155: Δ=13
2021-02-02,102781: Δ=382,3142: Δ=8
2021-02-01,102399: Δ=480,3134: Δ=8
2021-01-31,101919: Δ=431,3126: Δ=12
2021-01-30,101488: Δ=714,3114: Δ=23
2021-01-29,100774: Δ=501,3091: Δ=17
2021-01-28,100273: Δ=713,3074: Δ=9
2021-01-27,99560: Δ=732,3065: Δ=14
2021-01-26,98828: Δ=346,3051: Δ=9
2021-01-25,98482: Δ=612,3042: Δ=6
2021-01-24,97870: Δ=693,3036: Δ=5
2021-01-23,97177: Δ=846,3031: Δ=11
2021-01-22,96331: Δ=819,3020: Δ=16
