Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,1903: Δ=0,0: Δ=0
2021-10-09,1903: Δ=0,0: Δ=0
2021-10-08,1903: Δ=4,0: Δ=0
2021-10-07,1899: Δ=0,0: Δ=0
2021-10-06,1899: Δ=1,0: Δ=0
2021-10-05,1898: Δ=1,0: Δ=0
2021-10-04,1897: Δ=1,0: Δ=0
2021-10-03,1896: Δ=0,0: Δ=0
2021-10-02,1896: Δ=0,0: Δ=0
2021-10-01,1896: Δ=0,0: Δ=0
2021-09-30,1896: Δ=1,0: Δ=0
2021-09-29,1895: Δ=2,0: Δ=0
2021-09-28,1893: Δ=2,0: Δ=0
2021-09-27,1891: Δ=4,0: Δ=0
2021-09-26,1887: Δ=0,0: Δ=0
2021-09-25,1887: Δ=0,0: Δ=0
2021-09-24,1887: Δ=1,0: Δ=0
2021-09-23,1886: Δ=1,0: Δ=0
2021-09-22,1885: Δ=1,0: Δ=0
2021-09-21,1884: Δ=0,0: Δ=0
2021-09-20,1884: Δ=5,0: Δ=0
2021-09-19,1879: Δ=0,0: Δ=0
2021-09-18,1879: Δ=0,0: Δ=0
2021-09-17,1879: Δ=4,0: Δ=0
2021-09-16,1875: Δ=3,0: Δ=0
2021-09-15,1872: Δ=2,0: Δ=0
2021-09-14,1870: Δ=0,0: Δ=0
2021-09-13,1870: Δ=4,0: Δ=0
2021-09-12,1866: Δ=0,0: Δ=0
2021-09-11,1866: Δ=0,0: Δ=0
2021-09-10,1866: Δ=0,0: Δ=0
2021-09-09,1866: Δ=1,0: Δ=0
2021-09-08,1865: Δ=0,0: Δ=0
2021-09-07,1865: Δ=5,0: Δ=0
2021-09-06,1860: Δ=0,0: Δ=0
2021-09-05,1860: Δ=0,0: Δ=0
2021-09-04,1860: Δ=0,0: Δ=0
2021-09-03,1860: Δ=3,0: Δ=0
2021-09-02,1857: Δ=6,0: Δ=0
2021-09-01,1851: Δ=0,0: Δ=0
2021-08-31,1851: Δ=1,0: Δ=0
2021-08-30,1850: Δ=10,0: Δ=0
2021-08-29,1840: Δ=0,0: Δ=0
2021-08-28,1840: Δ=0,0: Δ=0
2021-08-27,1840: Δ=7,0: Δ=0
2021-08-26,1833: Δ=6,0: Δ=0
2021-08-25,1827: Δ=6,0: Δ=0
