Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,1096640: Δ=0,34355: Δ=0
2021-10-09,1096640: Δ=0,34355: Δ=0
2021-10-08,1096640: Δ=1496,34355: Δ=22
2021-10-07,1095144: Δ=1924,34333: Δ=-1
2021-10-06,1093220: Δ=2004,34334: Δ=18
2021-10-05,1091216: Δ=1200,34316: Δ=5
2021-10-04,1090016: Δ=4426,34311: Δ=27
2021-10-03,1085590: Δ=0,34284: Δ=0
2021-10-02,1085590: Δ=0,34284: Δ=0
2021-10-01,1085590: Δ=1890,34284: Δ=20
2021-09-30,1083700: Δ=1601,34264: Δ=19
2021-09-29,1082099: Δ=1190,34245: Δ=37
2021-09-28,1080909: Δ=2527,34208: Δ=22
2021-09-27,1078382: Δ=0,34186: Δ=0
2021-09-26,1078382: Δ=3825,34186: Δ=30
2021-09-25,1074557: Δ=0,34156: Δ=0
2021-09-24,1074557: Δ=1682,34156: Δ=23
2021-09-23,1072875: Δ=1743,34133: Δ=11
2021-09-22,1071132: Δ=1565,34122: Δ=20
2021-09-21,1069567: Δ=1720,34102: Δ=28
2021-09-20,1067847: Δ=1594,34074: Δ=2
2021-09-19,1066253: Δ=4204,34072: Δ=14
2021-09-18,1062049: Δ=0,34058: Δ=0
2021-09-17,1062049: Δ=2165,34058: Δ=6
2021-09-16,1059884: Δ=1992,34052: Δ=18
2021-09-15,1057892: Δ=1627,34034: Δ=8
2021-09-14,1056265: Δ=1560,34026: Δ=25
2021-09-13,1054705: Δ=3110,34001: Δ=24
2021-09-12,1051595: Δ=0,33977: Δ=0
2021-09-11,1051595: Δ=2469,33977: Δ=18
2021-09-10,1049126: Δ=1819,33959: Δ=-9
2021-09-09,1047307: Δ=3024,33968: Δ=54
2021-09-08,1044283: Δ=0,33914: Δ=0
2021-09-07,1044283: Δ=994,33914: Δ=7
2021-09-06,1043289: Δ=1230,33907: Δ=12
2021-09-05,1042059: Δ=3632,33895: Δ=20
2021-09-04,1038427: Δ=0,33875: Δ=0
