Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,62712: Δ=0,1849: Δ=0
2021-10-09,62712: Δ=0,1849: Δ=0
2021-10-08,62712: Δ=151,1849: Δ=1
2021-10-07,62561: Δ=106,1848: Δ=0
2021-10-06,62455: Δ=111,1848: Δ=2
2021-10-05,62344: Δ=85,1846: Δ=0
2021-10-04,62259: Δ=217,1846: Δ=1
2021-10-03,62042: Δ=0,1845: Δ=0
2021-10-02,62042: Δ=0,1845: Δ=0
2021-10-01,62042: Δ=109,1845: Δ=3
2021-09-30,61933: Δ=100,1842: Δ=1
2021-09-29,61833: Δ=99,1841: Δ=1
2021-09-28,61734: Δ=95,1840: Δ=1
2021-09-27,61639: Δ=263,1839: Δ=1
2021-09-26,61376: Δ=0,1838: Δ=0
2021-09-25,61376: Δ=0,1838: Δ=0
2021-09-24,61376: Δ=109,1838: Δ=1
2021-09-23,61267: Δ=88,1837: Δ=0
2021-09-22,61179: Δ=122,1837: Δ=2
2021-09-21,61057: Δ=90,1835: Δ=1
2021-09-20,60967: Δ=285,1834: Δ=0
2021-09-19,60682: Δ=0,1834: Δ=0
2021-09-18,60682: Δ=0,1834: Δ=0
2021-09-17,60682: Δ=136,1834: Δ=3
2021-09-16,60546: Δ=127,1831: Δ=1
2021-09-15,60419: Δ=156,1830: Δ=4
2021-09-14,60263: Δ=115,1826: Δ=0
2021-09-13,60148: Δ=286,1826: Δ=2
2021-09-12,59862: Δ=0,1824: Δ=0
2021-09-11,59862: Δ=0,1824: Δ=0
2021-09-10,59862: Δ=93,1824: Δ=1
2021-09-09,59769: Δ=159,1823: Δ=0
2021-09-08,59610: Δ=81,1823: Δ=0
2021-09-07,59529: Δ=391,1823: Δ=1
2021-09-06,59138: Δ=0,1822: Δ=0
2021-09-05,59138: Δ=0,1822: Δ=0
2021-09-04,59138: Δ=0,1822: Δ=0
2021-09-03,59138: Δ=132,1822: Δ=1
2021-09-02,59006: Δ=129,1821: Δ=0
2021-09-01,58877: Δ=159,1821: Δ=0
2021-08-31,58718: Δ=158,1821: Δ=0
2021-08-30,58560: Δ=304,1821: Δ=0
2021-08-29,58256: Δ=0,1821: Δ=0
2021-08-28,58256: Δ=0,1821: Δ=0
2021-08-27,58256: Δ=117,1821: Δ=0
2021-08-26,58139: Δ=134,1821: Δ=1
2021-08-25,58005: Δ=129,1820: Δ=2
2021-08-24,57876: Δ=107,1818: Δ=0
2021-08-23,57769: Δ=243,1818: Δ=0
2021-08-22,57526: Δ=0,1818: Δ=0
2021-08-21,57526: Δ=0,1818: Δ=0
2021-08-20,57526: Δ=130,1818: Δ=0
2021-08-19,57396: Δ=113,1818: Δ=0
2021-08-18,57283: Δ=106,1818: Δ=0
2021-08-17,57177: Δ=108,1818: Δ=2
2021-08-16,57069: Δ=237,1816: Δ=2
2021-08-15,56832: Δ=0,1814: Δ=0
2021-08-14,56832: Δ=0,1814: Δ=0
2021-08-13,56832: Δ=98,1814: Δ=0
2021-08-12,56734: Δ=122,1814: Δ=2
2021-08-11,56612: Δ=113,1812: Δ=1
2021-08-10,56499: Δ=100,1811: Δ=0
2021-08-09,56399: Δ=205,1811: Δ=0
2021-08-08,56194: Δ=0,1811: Δ=0
2021-08-07,56194: Δ=0,1811: Δ=0
2021-08-06,56194: Δ=83,1811: Δ=0
2021-08-05,56111: Δ=81,1811: Δ=0
2021-08-04,56030: Δ=70,1811: Δ=0
2021-08-03,55960: Δ=69,1811: Δ=0
2021-08-02,55891: Δ=165,1811: Δ=1
2021-08-01,55726: Δ=0,1810: Δ=0
2021-07-31,55726: Δ=0,1810: Δ=0
2021-07-30,55726: Δ=77,1810: Δ=0
2021-07-29,55649: Δ=69,1810: Δ=1
2021-07-28,55580: Δ=51,1809: Δ=0
2021-07-27,55529: Δ=50,1809: Δ=1
2021-07-26,55479: Δ=85,1808: Δ=0
2021-07-25,55394: Δ=0,1808: Δ=0
2021-07-24,55394: Δ=0,1808: Δ=0
2021-07-23,55394: Δ=29,1808: Δ=0
2021-07-22,55365: Δ=34,1808: Δ=0
2021-07-21,55331: Δ=33,1808: Δ=0
2021-07-20,55298: Δ=24,1808: Δ=0
2021-07-19,55274: Δ=59,1808: Δ=1
2021-07-18,55215: Δ=0,1807: Δ=0
2021-07-17,55215: Δ=0,1807: Δ=0
2021-07-16,55215: Δ=25,1807: Δ=1
2021-07-15,55190: Δ=21,1806: Δ=0
2021-07-14,55169: Δ=26,1806: Δ=0
2021-07-13,55143: Δ=17,1806: Δ=0
2021-07-12,55126: Δ=35,1806: Δ=0
2021-07-11,55091: Δ=0,1806: Δ=0
2021-07-10,55091: Δ=0,1806: Δ=0
2021-07-09,55091: Δ=22,1806: Δ=0
2021-07-08,55069: Δ=5,1806: Δ=1
2021-07-07,55064: Δ=1,1805: Δ=0
2021-07-06,55063: Δ=26,1805: Δ=1
