Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,57385: Δ=0,1503: Δ=0
2021-10-09,57385: Δ=0,1503: Δ=0
2021-10-08,57385: Δ=148,1503: Δ=1
2021-10-07,57237: Δ=120,1502: Δ=1
2021-10-06,57117: Δ=129,1501: Δ=2
2021-10-05,56988: Δ=81,1499: Δ=2
2021-10-04,56907: Δ=266,1497: Δ=3
2021-10-03,56641: Δ=0,1494: Δ=0
2021-10-02,56641: Δ=0,1494: Δ=0
2021-10-01,56641: Δ=145,1494: Δ=-1
2021-09-30,56496: Δ=116,1495: Δ=2
2021-09-29,56380: Δ=144,1493: Δ=2
2021-09-28,56236: Δ=98,1491: Δ=1
2021-09-27,56138: Δ=299,1490: Δ=0
2021-09-26,55839: Δ=0,1490: Δ=0
2021-09-25,55839: Δ=0,1490: Δ=0
2021-09-24,55839: Δ=135,1490: Δ=2
2021-09-23,55704: Δ=156,1488: Δ=0
2021-09-22,55548: Δ=119,1488: Δ=3
2021-09-21,55429: Δ=133,1485: Δ=2
2021-09-20,55296: Δ=294,1483: Δ=1
2021-09-19,55002: Δ=0,1482: Δ=0
2021-09-18,55002: Δ=0,1482: Δ=0
2021-09-17,55002: Δ=153,1482: Δ=3
2021-09-16,54849: Δ=116,1479: Δ=0
2021-09-15,54733: Δ=191,1479: Δ=0
2021-09-14,54542: Δ=160,1479: Δ=0
2021-09-13,54382: Δ=291,1479: Δ=3
2021-09-12,54091: Δ=0,1476: Δ=0
2021-09-11,54091: Δ=0,1476: Δ=0
2021-09-10,54091: Δ=92,1476: Δ=0
2021-09-09,53999: Δ=207,1476: Δ=1
2021-09-08,53792: Δ=91,1475: Δ=1
2021-09-07,53701: Δ=318,1474: Δ=1
2021-09-06,53383: Δ=0,1473: Δ=0
2021-09-05,53383: Δ=0,1473: Δ=0
2021-09-04,53383: Δ=0,1473: Δ=0
2021-09-03,53383: Δ=133,1473: Δ=1
2021-09-02,53250: Δ=128,1472: Δ=1
2021-09-01,53122: Δ=114,1471: Δ=2
2021-08-31,53008: Δ=175,1469: Δ=1
2021-08-30,52833: Δ=328,1468: Δ=1
2021-08-29,52505: Δ=0,1467: Δ=0
2021-08-28,52505: Δ=0,1467: Δ=0
2021-08-27,52505: Δ=144,1467: Δ=0
2021-08-26,52361: Δ=147,1467: Δ=2
2021-08-25,52214: Δ=149,1465: Δ=0
2021-08-24,52065: Δ=122,1465: Δ=1
2021-08-23,51943: Δ=242,1464: Δ=0
2021-08-22,51701: Δ=0,1464: Δ=0
2021-08-21,51701: Δ=0,1464: Δ=0
2021-08-20,51701: Δ=121,1464: Δ=2
2021-08-19,51580: Δ=105,1462: Δ=0
2021-08-18,51475: Δ=106,1462: Δ=0
2021-08-17,51369: Δ=100,1462: Δ=0
2021-08-16,51269: Δ=237,1462: Δ=0
2021-08-15,51032: Δ=0,1462: Δ=0
2021-08-14,51032: Δ=0,1462: Δ=0
2021-08-13,51032: Δ=85,1462: Δ=2
2021-08-12,50947: Δ=93,1460: Δ=0
2021-08-11,50854: Δ=184,1460: Δ=0
2021-08-10,50670: Δ=66,1460: Δ=3
2021-08-09,50604: Δ=187,1457: Δ=0
2021-08-08,50417: Δ=0,1457: Δ=0
2021-08-07,50417: Δ=0,1457: Δ=0
2021-08-06,50417: Δ=119,1457: Δ=0
2021-08-05,50298: Δ=65,1457: Δ=0
2021-08-04,50233: Δ=49,1457: Δ=2
2021-08-03,50184: Δ=74,1455: Δ=0
2021-08-02,50110: Δ=161,1455: Δ=0
2021-08-01,49949: Δ=0,1455: Δ=0
2021-07-31,49949: Δ=0,1455: Δ=0
2021-07-30,49949: Δ=75,1455: Δ=1
2021-07-29,49874: Δ=65,1454: Δ=1
2021-07-28,49809: Δ=40,1453: Δ=0
2021-07-27,49769: Δ=60,1453: Δ=0
2021-07-26,49709: Δ=92,1453: Δ=1
2021-07-25,49617: Δ=0,1452: Δ=0
2021-07-24,49617: Δ=0,1452: Δ=0
2021-07-23,49617: Δ=28,1452: Δ=2
2021-07-22,49589: Δ=41,1450: Δ=1
2021-07-21,49548: Δ=38,1449: Δ=0
2021-07-20,49510: Δ=31,1449: Δ=3
