Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,105356: Δ=0,1901: Δ=0
2021-10-09,105356: Δ=0,1901: Δ=0
2021-10-08,105356: Δ=152,1901: Δ=2
2021-10-07,105204: Δ=158,1899: Δ=4
2021-10-06,105046: Δ=118,1895: Δ=2
2021-10-05,104928: Δ=128,1893: Δ=0
2021-10-04,104800: Δ=333,1893: Δ=1
2021-10-03,104467: Δ=0,1892: Δ=0
2021-10-02,104467: Δ=0,1892: Δ=0
2021-10-01,104467: Δ=143,1892: Δ=2
2021-09-30,104324: Δ=142,1890: Δ=2
2021-09-29,104182: Δ=121,1888: Δ=2
2021-09-28,104061: Δ=110,1886: Δ=3
2021-09-27,103951: Δ=417,1883: Δ=0
2021-09-26,103534: Δ=0,1883: Δ=0
2021-09-25,103534: Δ=0,1883: Δ=0
2021-09-24,103534: Δ=184,1883: Δ=1
2021-09-23,103350: Δ=180,1882: Δ=1
2021-09-22,103170: Δ=168,1881: Δ=2
2021-09-21,103002: Δ=117,1879: Δ=0
2021-09-20,102885: Δ=519,1879: Δ=1
2021-09-19,102366: Δ=0,1878: Δ=0
2021-09-18,102366: Δ=0,1878: Δ=0
2021-09-17,102366: Δ=216,1878: Δ=2
2021-09-16,102150: Δ=236,1876: Δ=1
2021-09-15,101914: Δ=280,1875: Δ=1
2021-09-14,101634: Δ=167,1874: Δ=1
2021-09-13,101467: Δ=655,1873: Δ=0
2021-09-12,100812: Δ=0,1873: Δ=0
2021-09-11,100812: Δ=0,1873: Δ=0
2021-09-10,100812: Δ=199,1873: Δ=0
2021-09-09,100613: Δ=227,1873: Δ=0
2021-09-08,100386: Δ=104,1873: Δ=1
2021-09-07,100282: Δ=583,1872: Δ=1
2021-09-06,99699: Δ=0,1871: Δ=0
2021-09-05,99699: Δ=0,1871: Δ=0
2021-09-04,99699: Δ=0,1871: Δ=0
2021-09-03,99699: Δ=214,1871: Δ=2
2021-09-02,99485: Δ=180,1869: Δ=2
2021-09-01,99305: Δ=192,1867: Δ=0
2021-08-31,99113: Δ=168,1867: Δ=0
2021-08-30,98945: Δ=474,1867: Δ=0
2021-08-29,98471: Δ=0,1867: Δ=0
2021-08-28,98471: Δ=0,1867: Δ=0
2021-08-27,98471: Δ=174,1867: Δ=1
2021-08-26,98297: Δ=229,1866: Δ=1
2021-08-25,98068: Δ=146,1865: Δ=0
2021-08-24,97922: Δ=130,1865: Δ=1
2021-08-23,97792: Δ=396,1864: Δ=0
2021-08-22,97396: Δ=0,1864: Δ=0
2021-08-21,97396: Δ=0,1864: Δ=0
2021-08-20,97396: Δ=206,1864: Δ=1
2021-08-19,97190: Δ=205,1863: Δ=0
2021-08-18,96985: Δ=158,1863: Δ=0
2021-08-17,96827: Δ=117,1863: Δ=1
2021-08-16,96710: Δ=375,1862: Δ=0
2021-08-15,96335: Δ=0,1862: Δ=0
2021-08-14,96335: Δ=0,1862: Δ=0
2021-08-13,96335: Δ=155,1862: Δ=1
2021-08-12,96180: Δ=181,1861: Δ=1
2021-08-11,95999: Δ=158,1860: Δ=1
2021-08-10,95841: Δ=147,1859: Δ=1
2021-08-09,95694: Δ=360,1858: Δ=0
2021-08-08,95334: Δ=0,1858: Δ=0
2021-08-07,95334: Δ=0,1858: Δ=0
2021-08-06,95334: Δ=149,1858: Δ=0
2021-08-05,95185: Δ=177,1858: Δ=0
2021-08-04,95008: Δ=137,1858: Δ=0
2021-08-03,94871: Δ=114,1858: Δ=0
2021-08-02,94757: Δ=296,1858: Δ=1
2021-08-01,94461: Δ=0,1857: Δ=0
2021-07-31,94461: Δ=0,1857: Δ=0
2021-07-30,94461: Δ=125,1857: Δ=0
2021-07-29,94336: Δ=98,1857: Δ=2
2021-07-28,94238: Δ=84,1855: Δ=0
2021-07-27,94154: Δ=85,1855: Δ=2
2021-07-26,94069: Δ=202,1853: Δ=0
2021-07-25,93867: Δ=0,1853: Δ=0
2021-07-24,93867: Δ=0,1853: Δ=0
2021-07-23,93867: Δ=100,1853: Δ=0
2021-07-22,93767: Δ=79,1853: Δ=1
2021-07-21,93688: Δ=68,1852: Δ=-1
2021-07-20,93620: Δ=52,1853: Δ=1
2021-07-19,93568: Δ=114,1852: Δ=1
2021-07-18,93454: Δ=0,1851: Δ=0
2021-07-17,93454: Δ=0,1851: Δ=0
2021-07-16,93454: Δ=55,1851: Δ=0
2021-07-15,93399: Δ=41,1851: Δ=0
2021-07-14,93358: Δ=36,1851: Δ=0
2021-07-13,93322: Δ=31,1851: Δ=0
