Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2021-10-10,91796: Δ=0,2368: Δ=0
2021-10-09,91796: Δ=0,2368: Δ=0
2021-10-08,91796: Δ=230,2368: Δ=4
2021-10-07,91566: Δ=272,2364: Δ=4
2021-10-06,91294: Δ=270,2360: Δ=6
2021-10-05,91024: Δ=203,2354: Δ=4
2021-10-04,90821: Δ=573,2350: Δ=2
2021-10-03,90248: Δ=0,2348: Δ=0
2021-10-02,90248: Δ=0,2348: Δ=0
2021-10-01,90248: Δ=239,2348: Δ=5
2021-09-30,90009: Δ=267,2343: Δ=2
2021-09-29,89742: Δ=217,2341: Δ=3
2021-09-28,89525: Δ=249,2338: Δ=2
2021-09-27,89276: Δ=696,2336: Δ=3
2021-09-26,88580: Δ=0,2333: Δ=0
2021-09-25,88580: Δ=0,2333: Δ=0
2021-09-24,88580: Δ=257,2333: Δ=0
2021-09-23,88323: Δ=291,2333: Δ=3
2021-09-22,88032: Δ=309,2330: Δ=4
2021-09-21,87723: Δ=180,2326: Δ=4
2021-09-20,87543: Δ=710,2322: Δ=1
2021-09-19,86833: Δ=0,2321: Δ=0
2021-09-18,86833: Δ=0,2321: Δ=0
2021-09-17,86833: Δ=272,2321: Δ=3
2021-09-16,86561: Δ=310,2318: Δ=4
2021-09-15,86251: Δ=383,2314: Δ=2
2021-09-14,85868: Δ=187,2312: Δ=4
2021-09-13,85681: Δ=727,2308: Δ=1
2021-09-12,84954: Δ=0,2307: Δ=0
2021-09-11,84954: Δ=0,2307: Δ=0
2021-09-10,84954: Δ=322,2307: Δ=4
2021-09-09,84632: Δ=290,2303: Δ=6
2021-09-08,84342: Δ=301,2297: Δ=2
2021-09-07,84041: Δ=810,2295: Δ=2
2021-09-06,83231: Δ=0,2293: Δ=0
2021-09-05,83231: Δ=0,2293: Δ=0
2021-09-04,83231: Δ=0,2293: Δ=0
2021-09-03,83231: Δ=245,2293: Δ=3
2021-09-02,82986: Δ=239,2290: Δ=7
2021-09-01,82747: Δ=343,2283: Δ=2
2021-08-31,82404: Δ=189,2281: Δ=2
2021-08-30,82215: Δ=504,2279: Δ=1
2021-08-29,81711: Δ=0,2278: Δ=0
2021-08-28,81711: Δ=0,2278: Δ=0
2021-08-27,81711: Δ=165,2278: Δ=1
2021-08-26,81546: Δ=179,2277: Δ=2
2021-08-25,81367: Δ=190,2275: Δ=0
2021-08-24,81177: Δ=179,2275: Δ=2
2021-08-23,80998: Δ=362,2273: Δ=0
2021-08-22,80636: Δ=0,2273: Δ=0
2021-08-21,80636: Δ=0,2273: Δ=0
2021-08-20,80636: Δ=148,2273: Δ=0
2021-08-19,80488: Δ=138,2273: Δ=1
2021-08-18,80350: Δ=158,2272: Δ=4
2021-08-17,80192: Δ=180,2268: Δ=0
2021-08-16,80012: Δ=305,2268: Δ=0
2021-08-15,79707: Δ=0,2268: Δ=0
2021-08-14,79707: Δ=0,2268: Δ=0
2021-08-13,79707: Δ=140,2268: Δ=0
2021-08-12,79567: Δ=106,2268: Δ=1
2021-08-11,79461: Δ=124,2267: Δ=1
2021-08-10,79337: Δ=145,2266: Δ=1
2021-08-09,79192: Δ=219,2265: Δ=1
2021-08-08,78973: Δ=0,2264: Δ=0
2021-08-07,78973: Δ=0,2264: Δ=0
2021-08-06,78973: Δ=117,2264: Δ=1
2021-08-05,78856: Δ=88,2263: Δ=0
2021-08-04,78768: Δ=112,2263: Δ=0
2021-08-03,78656: Δ=86,2263: Δ=1
2021-08-02,78570: Δ=217,2262: Δ=0
2021-08-01,78353: Δ=0,2262: Δ=0
2021-07-31,78353: Δ=0,2262: Δ=0
2021-07-30,78353: Δ=74,2262: Δ=0
2021-07-29,78279: Δ=59,2262: Δ=2
2021-07-28,78220: Δ=63,2260: Δ=2
2021-07-27,78157: Δ=99,2258: Δ=3
2021-07-26,78058: Δ=137,2255: Δ=2
2021-07-25,77921: Δ=0,2253: Δ=0
2021-07-24,77921: Δ=0,2253: Δ=0
2021-07-23,77921: Δ=53,2253: Δ=0
2021-07-22,77868: Δ=52,2253: Δ=0
2021-07-21,77816: Δ=41,2253: Δ=1
2021-07-20,77775: Δ=41,2252: Δ=1
2021-07-19,77734: Δ=73,2251: Δ=0
